,index,runs,time,residual,event_of_run,event_nr,event_mean_residual,event_total_residual,nr_of_days,month,doy,week,country
31975,522131,h155,2004-01-07 12:00:00,755252.2379624412,4,42,755737.5156976838,15870487.82965136,21,1,7,2,ESP
31976,522133,h155,2004-01-09 12:00:00,702757.0414711226,4,42,755737.5156976838,15870487.82965136,21,1,9,2,ESP
31977,522135,h155,2004-01-11 12:00:00,703101.7990676571,4,42,755737.5156976838,15870487.82965136,21,1,11,2,ESP
31978,522136,h155,2004-01-12 12:00:00,786390.8751999098,4,42,755737.5156976838,15870487.82965136,21,1,12,2,ESP
31979,522137,h155,2004-01-13 12:00:00,786390.8751999098,4,42,755737.5156976838,15870487.82965136,21,1,13,2,ESP
31980,522138,h155,2004-01-14 12:00:00,786390.8751999098,4,42,755737.5156976838,15870487.82965136,21,1,14,2,ESP
31981,522139,h155,2004-01-15 12:00:00,786390.8751999097,4,42,755737.5156976838,15870487.82965136,21,1,15,2,ESP
31982,522140,h155,2004-01-16 12:00:00,786390.8751999098,4,42,755737.5156976838,15870487.82965136,21,1,16,2,ESP
31983,522143,h155,2004-01-19 12:00:00,786390.87519991,4,42,755737.5156976838,15870487.82965136,21,1,19,2,ESP
31984,522144,h155,2004-01-20 12:00:00,786390.87519991,4,42,755737.5156976838,15870487.82965136,21,1,20,2,ESP
31985,522145,h155,2004-01-21 12:00:00,755997.3074224596,4,42,755737.5156976838,15870487.82965136,21,1,21,2,ESP
31986,522146,h155,2004-01-22 12:00:00,770185.2490736775,4,42,755737.5156976838,15870487.82965136,21,1,22,2,ESP
31987,522147,h155,2004-01-23 12:00:00,741304.084690829,4,42,755737.5156976838,15870487.82965136,21,1,23,2,ESP
31988,522150,h155,2004-01-26 12:00:00,775033.1140366385,4,42,755737.5156976838,15870487.82965136,21,1,26,2,ESP
31989,522151,h155,2004-01-27 12:00:00,769407.1133688844,4,42,755737.5156976838,15870487.82965136,21,1,27,2,ESP
31990,522152,h155,2004-01-28 12:00:00,731735.1732614657,4,42,755737.5156976838,15870487.82965136,21,1,28,2,ESP
31991,522154,h155,2004-01-30 12:00:00,695199.3866795691,4,42,755737.5156976838,15870487.82965136,21,1,30,2,ESP
31992,115612,h042,2002-01-01 12:00:00,709302.4169445531,1,43,712224.8357387139,15668946.386251705,22,1,1,3,ESP
31993,115613,h042,2002-01-02 12:00:00,709302.4169445531,1,43,712224.8357387139,15668946.386251705,22,1,2,3,ESP
31994,115614,h042,2002-01-03 12:00:00,709302.4169445531,1,43,712224.8357387139,15668946.386251705,22,1,3,3,ESP
31995,115615,h042,2002-01-04 12:00:00,709302.416944553,1,43,712224.8357387139,15668946.386251705,22,1,4,3,ESP
31996,115618,h042,2002-01-07 12:00:00,708613.828992048,1,43,712224.8357387139,15668946.386251705,22,1,7,3,ESP
31997,115620,h042,2002-01-09 12:00:00,708613.8289920482,1,43,712224.8357387139,15668946.386251705,22,1,9,3,ESP
31998,115621,h042,2002-01-10 12:00:00,708613.8289920482,1,43,712224.8357387139,15668946.386251705,22,1,10,3,ESP
31999,115622,h042,2002-01-11 12:00:00,708613.8289920483,1,43,712224.8357387139,15668946.386251705,22,1,11,3,ESP
32000,115625,h042,2002-01-14 12:00:00,718853.8632681912,1,43,712224.8357387139,15668946.386251705,22,1,14,3,ESP
32001,115626,h042,2002-01-15 12:00:00,718853.8632681912,1,43,712224.8357387139,15668946.386251705,22,1,15,3,ESP
32002,115627,h042,2002-01-16 12:00:00,706649.6189821662,1,43,712224.8357387139,15668946.386251705,22,1,16,3,ESP
32003,115628,h042,2002-01-17 12:00:00,718853.8632681912,1,43,712224.8357387139,15668946.386251705,22,1,17,3,ESP
32004,115629,h042,2002-01-18 12:00:00,697367.0853186315,1,43,712224.8357387139,15668946.386251705,22,1,18,3,ESP
32005,115632,h042,2002-01-21 12:00:00,719165.8018935121,1,43,712224.8357387139,15668946.386251705,22,1,21,3,ESP
32006,115633,h042,2002-01-22 12:00:00,719165.801893512,1,43,712224.8357387139,15668946.386251705,22,1,22,3,ESP
32007,115634,h042,2002-01-23 12:00:00,719165.801893512,1,43,712224.8357387139,15668946.386251705,22,1,23,3,ESP
32008,115635,h042,2002-01-24 12:00:00,719165.801893512,1,43,712224.8357387139,15668946.386251705,22,1,24,3,ESP
32009,115636,h042,2002-01-25 12:00:00,719165.8018935118,1,43,712224.8357387139,15668946.386251705,22,1,25,3,ESP
32010,115639,h042,2002-01-28 12:00:00,719165.801893512,1,43,712224.8357387139,15668946.386251705,22,1,28,3,ESP
32011,115640,h042,2002-01-29 12:00:00,719165.801893512,1,43,712224.8357387139,15668946.386251705,22,1,29,3,ESP
32012,115641,h042,2002-01-30 12:00:00,706447.7230614306,1,43,712224.8357387139,15668946.386251705,22,1,30,3,ESP
32013,115642,h042,2002-01-31 12:00:00,696094.7720839152,1,43,712224.8357387139,15668946.386251705,22,1,31,3,ESP
32014,12179,h013,2003-12-08 12:00:00,702314.0617922705,3,44,703241.2110257025,15471306.642565455,22,12,342,2,ESP
32015,12180,h013,2003-12-09 12:00:00,702314.0617922705,3,44,703241.2110257025,15471306.642565455,22,12,343,2,ESP
32016,12181,h013,2003-12-10 12:00:00,702314.0617922706,3,44,703241.2110257025,15471306.642565455,22,12,344,2,ESP
32017,12182,h013,2003-12-11 12:00:00,702314.0617922706,3,44,703241.2110257025,15471306.642565455,22,12,345,2,ESP
32018,12183,h013,2003-12-12 12:00:00,702314.0617922705,3,44,703241.2110257025,15471306.642565455,22,12,346,2,ESP
32019,12186,h013,2003-12-15 12:00:00,705941.7584481048,3,44,703241.2110257025,15471306.642565455,22,12,349,2,ESP
32020,12187,h013,2003-12-16 12:00:00,705941.7584481048,3,44,703241.2110257025,15471306.642565455,22,12,350,2,ESP
32021,12188,h013,2003-12-17 12:00:00,705941.7584481047,3,44,703241.2110257025,15471306.642565455,22,12,351,2,ESP
